id,http_code_old,IPA
r_sicili:10d04c4a-0d3b-435a-b77c-aaf7dd0ff4f3,204,r_sicili
r_sicili:d310aa14-ea41-4fb7-a84b-1116e58493eb,200,r_sicili
r_sicili:16d351d1-829d-4fbb-818d-9f765cce191c,200,r_sicili
r_sicili:0c3a7cb5-1a78-43c1-ad55-f5c846ad9ee4,200,r_sicili
r_sicili:6861afd7-99bb-4474-b1c8-376dc8447f62,200,r_sicili
r_sicili:57606ae4-204e-414d-9780-f2c791872635,200,r_sicili
r_sicili:4e3fbd6c-937a-4c80-933a-e627d7668537,200,r_sicili
r_sicili:14ed4d54-3091-48c9-b6d0-8020d26eb6c9,204,r_sicili
r_sicili:34f12048-61e5-47cc-995d-ef3bd61fd34f,204,r_sicili
r_sicili:a57c4bd0-5b34-4d9c-aac7-737de2e8b37d,200,r_sicili
r_sicili:6da025d3-0bf3-42c0-8989-d09b04a5d2e0,204,r_sicili
r_sicili:6432cd60-cc30-4417-bec0-23dac701d41c,200,r_sicili
r_sicili:c1aeae5e-6a3b-4853-9fe8-47e74a5609fd,500,r_sicili
r_sicili:47024768-9831-4c15-a581-594fbef2121a,200,r_sicili
r_sicili:892b747a-3cb1-444d-9ad6-78abbe33bd84,200,r_sicili
r_sicili:03e4003f-b7e4-4560-8440-bd1f29ae2c64,200,r_sicili
p_en:7f8a4c0d-36af-4350-b850-78244bf56f5b,500,p_en
r_sicili:0b7b645c-ced7-42d8-ab4e-f9f5b1b4140f,200,r_sicili
r_sicili:11032409-e38d-48e3-ada2-48e68e25f383,200,r_sicili
r_sicili:47542c2d-3ab6-4a23-8df1-2581df0012c9,200,r_sicili
p_en:f13b12e4-7dbc-4778-bc4f-9f644e9aa644,500,p_en
r_sicili:1526b121-e650-450e-94af-faa272d1fd7a,200,r_sicili
r_sicili:417219d6-72bf-4511-a98d-95404cfd1c74,200,r_sicili
r_sicili:b195f1fb-ada6-47dc-98ec-38d2d92899bf,200,r_sicili
r_sicili:c635d9aa-a33d-44a2-8293-b4db648b28db,200,r_sicili
r_sicili:0c3a2b4c-4dd2-4ec5-b2d9-0a119ec4f60d,200,r_sicili
r_sicili:ec235d35-87da-4a43-9d05-e52e5d245379,200,r_sicili
p_tp:d754d71d-dffb-4b20-9ac8-7cd58135d354,000,p_tp
r_sicili:32f79bdb-63e8-41b9-b6cc-4993ddd6e05b,200,r_sicili
r_sicili:77f532ce-e735-46d7-984c-8034fb9b040f,200,r_sicili
r_sicili:3271d2db-d5c6-46d6-9dd9-d93ab1d6f499,200,r_sicili
r_sicili:ca1412ff-8a05-44ad-b8a1-be181f61df6d,200,r_sicili
r_sicili:0a153474-1b63-4e03-8ce8-b5e1616cb7bc,200,r_sicili
p_en:f4bb28ce-1952-4ed5-bfc9-f2b3e20cb780,500,p_en
